trip_id,driver_id,passenger_count,city,pickup_location,dropoff_location,distance_km,duration_minutes,fare,tip,total_amount,payment_method,vehicle_type,driver_rating,status,timestamp
2458136a,DRV-6433,1,Chicago,River North,O'Hare Airport,7.78,34,27.56,6.08,33.64,Credit Card,Premium,4.87,Cancelled,2025-11-17 17:06:55.061307
08734207,DRV-3043,4,Los Angeles,Hollywood,Venice Beach,11.82,37,39.77,4.21,43.98,Credit Card,Economy,4.56,In Progress,2025-11-17 17:06:53.710873
5319ea44,DRV-4842,4,Chicago,River North,Lincoln Park,24.63,67,67.43,8.41,75.84,Cash,Electric,4.5,Completed,2025-11-17 17:06:52.272839
17835cdf,DRV-6093,3,New York,LaGuardia Airport,Manhattan,6.47,20,18.37,6.34,24.71,Credit Card,SUV,4.93,In Progress,2025-11-17 17:06:50.701576
6973167a,DRV-2237,4,New York,Staten Island,Manhattan,2.53,8,10.48,2.99,13.47,Debit Card,Electric,4.68,In Progress,2025-11-17 17:06:49.687508
17c2652e,DRV-7668,4,Los Angeles,Venice Beach,Santa Monica,19.61,65,57.95,8.97,66.92,Corporate Account,Electric,4.51,In Progress,2025-11-17 17:06:47.893074
4e8d3e55,DRV-6351,3,Miami,Downtown,South Beach,19.77,78,62.2,0.0,62.2,Cash,Economy,4.65,Completed,2025-11-17 17:06:46.397435
4364da18,DRV-5230,2,Chicago,Lincoln Park,Navy Pier,33.71,115,58.17,4.6,62.77,Cash,SUV,4.86,Cancelled,2025-11-17 17:06:44.775726
7f9e9023,DRV-7045,3,Los Angeles,Venice Beach,Beverly Hills,5.59,21,15.27,0.0,15.27,Debit Card,Economy,4.81,Cancelled,2025-11-17 17:06:44.144280
9ea72dc0,DRV-9239,2,New York,Bronx,LaGuardia Airport,16.85,43,55.18,0.0,55.18,Cash,Comfort,4.71,In Progress,2025-11-17 17:06:43.218704
9114019f,DRV-2043,2,Chicago,Loop,Navy Pier,23.15,103,59.33,5.03,64.36,Digital Wallet,SUV,4.52,Cancelled,2025-11-17 17:06:42.689195
cbe2b124,DRV-4759,4,Chicago,Navy Pier,Loop,16.43,63,44.3,0.0,44.3,Corporate Account,Electric,4.78,In Progress,2025-11-17 17:06:41.117150
e57d1f35,DRV-5442,2,New York,Brooklyn,Manhattan,12.08,43,38.87,0.0,38.87,Cash,Economy,4.55,Completed,2025-11-17 17:06:40.145463
96b8052a,DRV-3415,2,New York,Manhattan,JFK Airport,13.01,41,78.73,9.0,87.73,Debit Card,Economy,4.74,In Progress,2025-11-17 17:06:39.553040
05ebbc72,DRV-4477,1,Miami,MIA Airport,South Beach,9.37,39,21.4,0.0,21.4,Corporate Account,SUV,4.66,Cancelled,2025-11-17 17:06:37.864186
02de0c5d,DRV-9458,1,New York,JFK Airport,LaGuardia Airport,4.7,14,18.76,7.03,25.79,Debit Card,Comfort,4.87,In Progress,2025-11-17 17:06:35.912750
eb04271b,DRV-8056,3,Chicago,Loop,Lincoln Park,2.39,6,19.86,2.73,22.59,Credit Card,Economy,4.5,Completed,2025-11-17 17:06:34.924469
7feb8132,DRV-7560,3,Los Angeles,Beverly Hills,LAX Airport,29.93,106,61.6,2.86,64.46,Corporate Account,SUV,4.64,Completed,2025-11-17 17:06:32.994082
2ed141de,DRV-4053,4,Los Angeles,LAX Airport,Downtown,28.17,96,86.98,3.98,90.96,Cash,Premium,4.79,Completed,2025-11-17 17:06:32.104095
d915a95e,DRV-8816,1,Miami,MIA Airport,Downtown,9.61,29,23.48,0.0,23.48,Credit Card,Economy,4.57,Cancelled,2025-11-17 17:06:30.240328
f8ec3c90,DRV-7468,1,Chicago,Navy Pier,Loop,25.88,77,65.82,2.19,68.01,Cash,SUV,4.72,Completed,2025-11-17 17:06:29.258018
945b9235,DRV-2735,3,New York,LaGuardia Airport,Manhattan,19.5,78,41.09,5.97,47.06,Credit Card,Electric,4.5,Completed,2025-11-17 17:06:27.457567
4bc9cac9,DRV-5075,4,Chicago,Lincoln Park,Navy Pier,32.41,138,92.3,7.9,100.2,Debit Card,Comfort,4.74,In Progress,2025-11-17 17:06:26.238436
84ecf15f,DRV-8788,2,Los Angeles,Downtown,Hollywood,18.12,62,128.46,0.0,128.46,Debit Card,SUV,4.87,Cancelled,2025-11-17 17:06:24.648544
fc192130,DRV-1984,3,San Francisco,SFO Airport,Fisherman's Wharf,21.06,62,39.71,2.45,42.16,Debit Card,SUV,4.61,Completed,2025-11-17 17:06:23.350249
d159aa0a,DRV-1771,3,Los Angeles,Venice Beach,Santa Monica,33.83,91,65.11,7.74,72.85,Digital Wallet,Comfort,4.61,Completed,2025-11-17 17:06:22.016364
9f1baf64,DRV-9177,4,Los Angeles,Beverly Hills,Venice Beach,25.83,79,68.32,2.7,71.02,Corporate Account,SUV,4.97,In Progress,2025-11-17 17:06:20.849283
bba0b07f,DRV-5147,1,Chicago,Wicker Park,Loop,28.75,73,57.05,7.69,64.74,Credit Card,Electric,4.57,In Progress,2025-11-17 17:06:18.907652
1490e254,DRV-3010,2,New York,Brooklyn,Queens,4.7,18,12.1,6.84,18.94,Corporate Account,Economy,4.54,Cancelled,2025-11-17 17:06:17.360425
30f6395a,DRV-8709,1,Los Angeles,Hollywood,Downtown,16.45,63,32.55,5.73,38.28,Cash,Premium,4.74,Completed,2025-11-17 17:06:16.644643
940c65bc,DRV-7714,3,New York,Bronx,Manhattan,17.53,53,46.02,7.3,53.32,Credit Card,Premium,5.0,Cancelled,2025-11-17 17:06:15.319083
fd0abe0e,DRV-2069,2,New York,Staten Island,Queens,23.86,94,65.09,7.04,72.13,Corporate Account,Economy,4.68,Cancelled,2025-11-17 17:06:13.890380
d077e0ce,DRV-7714,1,Los Angeles,Venice Beach,LAX Airport,20.57,80,66.37,6.98,73.35,Cash,Comfort,4.6,Cancelled,2025-11-17 17:06:12.269264
b2b0aa57,DRV-1166,1,Los Angeles,Venice Beach,Hollywood,23.73,85,71.87,4.81,76.68,Credit Card,Economy,4.71,In Progress,2025-11-17 17:06:11.140283
9cf7db30,DRV-5556,2,Los Angeles,Beverly Hills,Downtown,32.35,117,58.15,2.6,60.75,Debit Card,SUV,4.82,In Progress,2025-11-17 17:06:09.352462
867d302c,DRV-2940,1,New York,Staten Island,LaGuardia Airport,28.63,72,192.37,0.0,192.37,Cash,Comfort,4.64,In Progress,2025-11-17 17:06:08.449188
0d5e289a,DRV-2466,3,Chicago,Navy Pier,O'Hare Airport,13.17,34,27.68,0.0,27.68,Credit Card,SUV,4.93,Completed,2025-11-17 17:06:07.065984
97a3cfd7,DRV-4174,2,Chicago,Lincoln Park,O'Hare Airport,22.76,59,51.37,5.74,57.11,Corporate Account,Premium,4.71,Completed,2025-11-17 17:06:05.831185
dc8817e4,DRV-9075,1,Chicago,O'Hare Airport,River North,29.83,98,63.5,9.14,72.64,Credit Card,Premium,4.69,In Progress,2025-11-17 17:06:04.711499
078eb19a,DRV-5781,2,New York,JFK Airport,LaGuardia Airport,3.81,15,14.06,8.72,22.78,Digital Wallet,SUV,4.78,Completed,2025-11-17 17:06:02.797810
ff0cd6b4,DRV-8116,3,San Francisco,Downtown,Marina,22.23,66,66.58,5.71,72.29,Corporate Account,Comfort,4.94,In Progress,2025-11-17 17:06:01.357217
3224e0e9,DRV-1291,3,New York,Manhattan,Queens,10.97,43,33.16,0.0,33.16,Corporate Account,Electric,4.86,In Progress,2025-11-17 17:06:00.781412
961a0b39,DRV-3375,1,Chicago,Wicker Park,O'Hare Airport,20.29,67,45.02,9.81,54.83,Digital Wallet,Economy,4.83,Completed,2025-11-17 17:05:59.375543
535f3e0f,DRV-3843,4,Miami,Brickell,South Beach,28.84,82,66.66,4.35,71.01,Corporate Account,Electric,4.75,Cancelled,2025-11-17 17:05:57.894303
ef2bf52f,DRV-1805,4,Miami,South Beach,Downtown,12.0,38,54.98,9.1,64.08,Debit Card,Electric,4.75,In Progress,2025-11-17 17:05:55.973039
0590e0c2,DRV-3492,2,San Francisco,Financial District,Fisherman's Wharf,22.9,98,43.64,4.15,47.79,Credit Card,Premium,4.5,Completed,2025-11-17 17:05:54.944867
6bb00de3,DRV-8168,3,New York,Staten Island,Queens,4.31,16,17.53,3.21,20.74,Credit Card,Economy,4.74,In Progress,2025-11-17 17:05:53.523700
6d2788e1,DRV-6704,1,Miami,Brickell,Coral Gables,26.46,111,70.38,6.86,77.24,Digital Wallet,Electric,4.95,Completed,2025-11-17 17:05:52.062824
f9cfafeb,DRV-6345,4,Los Angeles,Santa Monica,Venice Beach,11.28,36,36.65,2.38,39.03,Credit Card,Comfort,4.65,Completed,2025-11-17 17:05:51.028735
00dddc58,DRV-3110,3,Chicago,Loop,Navy Pier,16.3,57,47.54,0.0,47.54,Cash,Premium,4.6,In Progress,2025-11-17 17:05:50.055730
4d3a7615,DRV-8266,3,Miami,Coral Gables,Downtown,17.93,53,39.21,5.75,44.96,Corporate Account,Economy,4.6,Cancelled,2025-11-17 17:05:49.098197
7b05ba1f,DRV-4713,3,San Francisco,Fisherman's Wharf,Marina,34.08,146,74.93,0.0,74.93,Corporate Account,Economy,4.63,Completed,2025-11-17 17:05:47.460870
f7440067,DRV-9435,2,New York,Queens,Bronx,13.27,37,32.21,8.87,41.08,Cash,SUV,4.74,Completed,2025-11-17 17:05:46.122245
bd046ca6,DRV-9536,3,New York,LaGuardia Airport,Brooklyn,6.81,29,25.2,7.57,32.77,Debit Card,Premium,4.85,Completed,2025-11-17 17:05:45.329161
ad63d159,DRV-8595,3,Los Angeles,Downtown,Santa Monica,6.5,20,21.46,5.29,26.75,Digital Wallet,Comfort,4.69,Cancelled,2025-11-17 17:05:44.805166
5897b286,DRV-1342,2,Chicago,O'Hare Airport,Navy Pier,31.97,125,55.69,0.0,55.69,Credit Card,Premium,4.73,Completed,2025-11-17 17:05:43.240898
f377c8ad,DRV-2860,1,Miami,South Beach,Coral Gables,6.97,26,24.32,4.47,28.79,Credit Card,Economy,4.77,In Progress,2025-11-17 17:05:41.724404
4e8575f3,DRV-5797,4,Miami,Brickell,MIA Airport,15.59,46,48.85,6.29,55.14,Cash,Comfort,4.52,Completed,2025-11-17 17:05:40.213299
99eab7b2,DRV-5752,1,Miami,Wynwood,Brickell,34.58,105,107.78,5.27,113.05,Debit Card,SUV,4.64,Completed,2025-11-17 17:05:38.652592
669fd1d9,DRV-8222,4,Los Angeles,Santa Monica,Beverly Hills,9.41,36,19.34,2.46,21.8,Credit Card,Premium,4.59,Cancelled,2025-11-17 17:05:36.956876
da5234fc,DRV-9437,2,Los Angeles,Santa Monica,Venice Beach,23.24,59,46.37,2.83,49.2,Corporate Account,Comfort,4.69,Completed,2025-11-17 17:05:35.882557
12484500,DRV-4883,2,San Francisco,Financial District,Marina,24.18,64,59.02,3.22,62.24,Corporate Account,Economy,4.87,Cancelled,2025-11-17 17:05:34.602909
897278f4,DRV-5951,3,Chicago,River North,Loop,18.95,50,53.75,8.22,61.97,Credit Card,Premium,4.78,In Progress,2025-11-17 17:05:34.065226
b2211fdc,DRV-9781,4,Los Angeles,Downtown,Beverly Hills,25.37,106,159.59,0.0,159.59,Credit Card,Electric,4.67,Cancelled,2025-11-17 17:05:32.744204
aba1af0c,DRV-7430,4,New York,Staten Island,Manhattan,4.4,18,13.7,2.89,16.59,Corporate Account,Comfort,4.96,Completed,2025-11-17 17:05:31.287205
e86876e7,DRV-8730,3,San Francisco,Downtown,Fisherman's Wharf,6.55,18,15.59,2.68,18.27,Digital Wallet,Premium,4.87,Completed,2025-11-17 17:05:29.398388
5a8c360b,DRV-1928,4,Chicago,O'Hare Airport,River North,23.62,62,148.01,5.93,153.94,Debit Card,SUV,4.82,Completed,2025-11-17 17:05:27.504041
4ed9af2f,DRV-7550,2,San Francisco,Downtown,Financial District,2.67,6,11.01,0.0,11.01,Cash,Electric,4.84,Cancelled,2025-11-17 17:05:26.299420
a9603b3b,DRV-2752,2,San Francisco,Fisherman's Wharf,SFO Airport,13.71,45,33.14,7.33,40.47,Corporate Account,Comfort,4.68,In Progress,2025-11-17 17:05:24.446631
ad7f3418,DRV-4917,2,Los Angeles,Hollywood,Downtown,22.84,69,66.27,8.63,74.9,Cash,Electric,4.7,Completed,2025-11-17 17:05:22.456849
eb98e5f6,DRV-8617,3,San Francisco,Mission District,Marina,7.43,30,51.7,7.14,58.84,Credit Card,SUV,4.8,Cancelled,2025-11-17 17:05:21.604872
a8846d0e,DRV-2471,2,Chicago,Navy Pier,O'Hare Airport,12.6,45,30.73,5.46,36.19,Credit Card,SUV,4.83,Cancelled,2025-11-17 17:05:20.203824
60e626ec,DRV-4204,3,Miami,South Beach,Brickell,29.31,110,82.18,0.0,82.18,Digital Wallet,Economy,4.89,Completed,2025-11-17 17:05:18.566292
c66d99b7,DRV-6830,3,New York,Brooklyn,JFK Airport,21.55,54,46.81,2.29,49.1,Debit Card,Electric,4.51,Cancelled,2025-11-17 17:05:16.903054
001376e7,DRV-7988,2,New York,Staten Island,Bronx,15.27,50,42.18,0.0,42.18,Credit Card,Premium,4.96,Cancelled,2025-11-17 17:05:15.323510
7af7c930,DRV-3963,3,San Francisco,SFO Airport,Financial District,22.94,58,62.09,8.96,71.05,Corporate Account,Premium,4.5,Completed,2025-11-17 17:05:14.028171
11dc781a,DRV-2106,4,New York,Bronx,Brooklyn,27.57,84,77.93,0.0,77.93,Corporate Account,Electric,4.8,Completed,2025-11-17 17:05:12.261788
31014f02,DRV-6058,3,New York,Bronx,Queens,29.68,126,80.91,0.0,80.91,Corporate Account,Electric,4.92,Completed,2025-11-17 17:05:10.544661
bba99e22,DRV-7689,3,San Francisco,Downtown,Mission District,15.24,41,46.94,8.02,54.96,Credit Card,SUV,4.78,In Progress,2025-11-17 17:05:09.212192
57b56199,DRV-7867,1,Los Angeles,Hollywood,Downtown,11.98,39,33.59,0.0,33.59,Digital Wallet,Comfort,4.8,In Progress,2025-11-17 17:05:07.426836
674e4f6a,DRV-5228,3,Chicago,Navy Pier,Lincoln Park,17.55,68,48.14,0.0,48.14,Cash,Comfort,4.76,Completed,2025-11-17 17:05:05.591780
e9a15442,DRV-9360,4,New York,Staten Island,LaGuardia Airport,10.31,35,26.61,5.91,32.52,Credit Card,Economy,4.83,Cancelled,2025-11-17 17:05:03.908110
ae5f2ad4,DRV-8183,3,San Francisco,Marina,Mission District,12.14,48,29.23,0.0,29.23,Digital Wallet,Comfort,4.99,In Progress,2025-11-17 17:05:02.242723
d0072fe1,DRV-4673,4,San Francisco,Downtown,Mission District,17.8,55,48.6,0.0,48.6,Digital Wallet,Comfort,4.79,Cancelled,2025-11-17 17:05:00.893328
d4bc4ad4,DRV-9726,4,Chicago,O'Hare Airport,Lincoln Park,12.97,45,35.79,0.0,35.79,Corporate Account,Premium,4.55,In Progress,2025-11-17 17:04:59.429648
2546f950,DRV-1039,2,San Francisco,Fisherman's Wharf,Marina,19.43,64,50.29,0.0,50.29,Digital Wallet,Economy,4.82,Completed,2025-11-17 17:04:58.852036
9b56424b,DRV-7441,4,San Francisco,Financial District,Fisherman's Wharf,8.42,27,19.97,7.04,27.01,Corporate Account,Premium,4.69,In Progress,2025-11-17 17:04:58.054047
68f435a8,DRV-6894,4,Chicago,Lincoln Park,O'Hare Airport,32.92,135,78.15,7.19,85.34,Debit Card,Comfort,4.93,In Progress,2025-11-17 17:04:56.804546
cd4fc166,DRV-5983,3,San Francisco,Mission District,SFO Airport,34.53,146,62.45,8.92,71.37,Debit Card,Comfort,4.83,Completed,2025-11-17 17:04:55.537148
4ee9b8cc,DRV-9866,1,Chicago,Wicker Park,Lincoln Park,3.36,12,10.47,9.24,19.71,Digital Wallet,Comfort,4.69,In Progress,2025-11-17 17:04:54.031770
1740c0d3,DRV-1052,3,Miami,Wynwood,MIA Airport,22.26,88,65.88,5.47,71.35,Digital Wallet,Economy,4.69,Completed,2025-11-17 17:04:52.062198
1b926eb2,DRV-9645,1,Miami,South Beach,Coral Gables,8.15,31,49.15,5.42,54.57,Corporate Account,Electric,4.55,Cancelled,2025-11-17 17:04:50.999663
250e5627,DRV-2788,3,Los Angeles,Santa Monica,Downtown,33.71,138,64.76,7.1,71.86,Corporate Account,SUV,4.8,Completed,2025-11-17 17:04:49.663415
143c23e6,DRV-5756,2,Chicago,O'Hare Airport,Lincoln Park,32.46,141,197.05,2.9,199.95,Credit Card,Electric,4.54,Cancelled,2025-11-17 17:04:48.309375
8c8e8496,DRV-6036,2,San Francisco,SFO Airport,Downtown,12.9,46,43.13,9.08,52.21,Digital Wallet,Economy,4.61,Cancelled,2025-11-17 17:04:46.685359
d1803e30,DRV-8010,3,Los Angeles,LAX Airport,Santa Monica,13.17,50,68.98,8.98,77.96,Digital Wallet,Electric,4.81,Cancelled,2025-11-17 17:04:45.455063
da8e3804,DRV-5439,2,New York,Brooklyn,Queens,16.72,47,41.88,0.0,41.88,Debit Card,Economy,4.55,In Progress,2025-11-17 17:04:44.192926
0552a314,DRV-7510,1,Los Angeles,LAX Airport,Venice Beach,13.86,58,27.88,0.0,27.88,Digital Wallet,SUV,4.88,In Progress,2025-11-17 17:04:43.116251
94e01606,DRV-4344,3,Miami,Brickell,Coral Gables,15.94,50,37.37,6.4,43.77,Debit Card,Economy,4.59,In Progress,2025-11-17 17:04:41.262584
324a9e10,DRV-2845,1,San Francisco,Financial District,Fisherman's Wharf,28.7,88,86.54,0.0,86.54,Credit Card,Electric,4.93,Cancelled,2025-11-17 17:04:40.664538
48b74cc4,DRV-4236,1,San Francisco,Fisherman's Wharf,Financial District,14.88,37,89.91,6.08,95.99,Debit Card,SUV,4.82,In Progress,2025-11-17 17:04:39.003576
c78bb4e7,DRV-3041,1,San Francisco,Fisherman's Wharf,Downtown,17.91,59,33.52,0.0,33.52,Credit Card,Premium,4.54,Cancelled,2025-11-17 17:04:37.379170
413fd217,DRV-1325,3,Miami,MIA Airport,Downtown,4.66,15,15.24,0.0,15.24,Corporate Account,SUV,4.76,Completed,2025-11-17 17:04:35.441631
3dab899e,DRV-6249,3,San Francisco,SFO Airport,Marina,29.24,94,67.2,0.0,67.2,Corporate Account,Premium,4.56,In Progress,2025-11-17 17:04:34.237903
f1e278ed,DRV-7558,1,Los Angeles,Beverly Hills,LAX Airport,34.23,139,85.77,0.0,85.77,Cash,Economy,4.92,Completed,2025-11-17 17:04:32.599356
762f36ba,DRV-6383,1,Miami,Coral Gables,Wynwood,29.0,121,78.5,0.0,78.5,Digital Wallet,SUV,4.87,In Progress,2025-11-17 17:04:31.594105
6f672d81,DRV-3911,1,New York,Manhattan,Staten Island,13.13,39,28.48,3.32,31.8,Credit Card,Comfort,4.65,Completed,2025-11-17 17:04:30.533865
226a702f,DRV-5987,2,Los Angeles,Beverly Hills,Venice Beach,8.13,23,25.96,4.85,30.81,Digital Wallet,Electric,4.92,In Progress,2025-11-17 17:04:29.238470
d5926792,DRV-4813,2,Miami,Wynwood,Brickell,8.41,32,19.54,8.66,28.2,Credit Card,Electric,4.99,In Progress,2025-11-17 17:04:27.707499
16d786b3,DRV-5791,3,Los Angeles,Hollywood,Downtown,17.19,44,42.91,0.0,42.91,Cash,SUV,4.66,In Progress,2025-11-17 17:04:27.001148
ed440270,DRV-2766,4,Los Angeles,Downtown,Venice Beach,10.02,26,28.44,6.02,34.46,Debit Card,SUV,4.91,Completed,2025-11-17 17:04:26.257064
